respondent_id,age,gender,education_level,residence_type,marital_status,relationship_to_hh,province,population_weight,mobile_money_registered,savings_mobile_banking,bank_account_current,bank_account_savings,bank_account_everyday,postbank_account,bank_overdraft,debit_card,credit_card,savings_microfinance,savings_sacco,savings_group_friends,savings_family_friend,savings_secret_place,loan_bank,loan_mobile_banking,loan_sacco,loan_microfinance,loan_shylock,loan_group_chama,loan_govt,loan_employer,loan_family_friend,loan_shopkeeper_cash,loan_goods_credit,loan_digital_app,loan_agri_buyer_supplier,loan_hire_purchase,loan_mortgage,insurance_motor,insurance_home,insurance_crop,insurance_livestock,insurance_nhif,insurance_health_other,insurance_life,insurance_education,insurance_other,pension_nssf,pension_mbao,pension_other,financially_excluded,year,county
23587502,90,Female,,Rural,Widowed,Head,Nyanza,2350.2666,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
23096391,76,Female,Primary,Rural,Married/living with partner,Spouse,Western,3434.9858,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
23101757,50,Male,,Rural,Married/living with partner,Head,Coast,1789.1605,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
22587502,80,Female,,Rural,Single,Head,Western,2940.8875,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
23762180,63,Female,Primary,Rural,Widowed,Head,Eastern,4423.674,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
23061258,60,Female,,Rural,Married/living with partner,Spouse,North eastern,2416.205,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
24047200,22,Female,Secondary,Urban,Married/living with partner,Spouse,Eastern,2886.8833,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
23330633,28,Female,Secondary,Rural,Married/living with partner,Spouse,Nyanza,3312.1772,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
22784053,22,Female,Primary,Rural,Married/living with partner,Other relative,Nyanza,3183.1394,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
22682120,18,Male,Secondary,Urban,Single,Father/mother,Central,5535.141,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
23357939,24,Female,Primary,Urban,Married/living with partner,Son/daughter,Nyanza,476.4106,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
22550213,62,Male,Primary,Rural,Married/living with partner,Head,Western,2948.6313,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
23777874,30,Female,Primary,Rural,Married/living with partner,Spouse,Eastern,1108.3351,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
23797500,21,Female,Secondary,Urban,Married/living with partner,Spouse,Eastern,528.0255,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
23060401,67,Female,,Urban,Widowed,Head,Coast,710.8435,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
22685754,22,Female,Secondary,Urban,Married/living with partner,Spouse,Eastern,1137.4661,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
23060073,20,Male,Primary,Urban,Single,Son/daughter,Nyanza,2987.8826,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
23994273,28,Female,,Rural,Married/living with partner,Spouse,Rift valley,1548.8011,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Included,2016,Unknown
23858772,85,Female,,Rural,Widowed,Head,Central,2257.0154,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
24025242,35,Female,Primary,Rural,Widowed,Head,Eastern,396.20908,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Excluded,2016,Unknown
